ID,县(市)名称,县(市)代码,数据年份,活立木总蓄积,林分面积合计,用材林面积,防护林面积,薪炭林面积,经济林面积,特用林面积,林分蓄积合计,用材林蓄积,防护林蓄积,薪炭林蓄积,经济林蓄积,特用林蓄积,幼龄林面积合计,幼龄用材林面积,幼龄防护林面积,幼龄薪炭林面积,幼龄经济林面积,幼龄特用林面积,幼龄林蓄积合计,幼龄用材林蓄积,幼龄防护林蓄积,幼龄薪炭林蓄积,幼龄经济林蓄积,幼龄特用林蓄积,中龄林面积合计,中龄用材林面积,中龄防护林面积,中龄薪炭林面积,中龄经济林面积,中龄特用林面积,中龄林蓄积合计,中龄用材林蓄积,中龄防护林蓄积,中龄薪炭林蓄积,中龄经济林蓄积,中龄特用林蓄积,近熟林面积合计,近熟用材林面积,近熟防护林面积,近熟薪炭林面积,近熟经济林面积,近熟特用林面积,近熟林蓄积合计,近熟用材林蓄积,近熟防护林蓄积,近熟薪炭林蓄积,近熟经济林蓄积,近熟特用林蓄积,成熟林面积合计,成熟用材林面积,成熟防护林面积,成熟薪炭林面积,成熟经济林面积,成熟特用林面积,成熟林蓄积合计,成熟用材林蓄积,成熟防护林蓄积,成熟薪炭林蓄积,成熟经济林蓄积,成熟特用林蓄积,过熟林面积合计,过熟用材林面积,过熟防护林面积,过熟薪炭林面积,过熟经济林面积,过熟特用林面积,过熟林蓄积合计,过熟用材林蓄积,过熟防护林蓄积,过熟薪炭林蓄积,过熟经济林蓄积,过熟特用林蓄积,疏林蓄积合计,疏林用材林蓄积,疏林防护林蓄积,疏林薪炭林蓄积,疏林经济林蓄积,疏林特用林蓄积,散生木蓄积合计,散生用材林蓄积,散生防护林蓄积,散生薪炭林蓄积,散生经济林蓄积,散生特用林蓄积,枯立木蓄积合计,枯立用材林蓄积,枯立防护林蓄积,枯立薪炭林蓄积,枯立经济林蓄积,枯立特用林蓄积,总和
21,礼泉,610425,1980-1984,112365,43716,2358,41358,0,0,0,56995,3696,53299,0,0,0,23719,1334,22385,0,0,0,16427,1600,14827,0,0,0,16985,1024,15961,0,0,0,33517,2096,31421,0,0,0,3012,0,3012,0,0,0,7051,0,7051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55370
22,三原,610422,1980-1984,114726,9579,7166,2413,0,0,0,1464,170,1294,0,0,0,9579,7166,2413,0,0,0,1464,170,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113262
23,泾阳,610423,1980-1984,112457,8431,0,8431,0,0,0,1998,0,1998,0,0,0,7466,0,7466,0,0,0,591,0,591,0,0,0,965,0,965,0,0,0,1407,0,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110459
24,秦都,610402,1980-1984,105857,1802,0,915,0,0,887,5973,0,3071,0,0,2902,0,0,0,0,0,0,0,0,0,0,0,0,1802,0,915,0,0,887,5973,0,3071,0,0,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99884
25,武功,610431,1980-1984,133671,1169,0,907,0,0,262,660,0,660,0,0,0,1169,0,907,0,0,262,660,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12389
26,杨陵区,610403,1980-1984,14307,1642,0,1435,0,0,207,907,0,907,0,0,0,1642,0,1435,0,0,207,907,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13400
27,宝鸡市,610300,1980-1984,51381902,9128207,5502995,2701330,93902,0,829980,48936477,26485518,14675457,221002,0,7554500,2324638,1412516,862980,37742,0,11400,5705796,3543303,2101560,48242,0,12691,3762340,2602470,1037299,52703,0,69868,17883722,12057380,5390486,164041,0,271815,750256,399022,285566,768,0,64900,4404297,2262139,1736196,4352,0,401610,1677540,771140,232246,1445,0,672709,14510466,5737886,1995724,3124,0,6773732,613433,317847,283239,1244,0,11103,6432196,2884810,3451491,1243,0,94652,613690,506890,102526,0,0,4274,88047,17718,70202,127,0,0,20775,12000,8693,0,0,82,1743689
28,千阳,610328,1980-1984,252523,158709,135610,22551,548,0,0,151117,142957,7120,1040,0,0,143486,120727,22211,548,0,0,50510,44122,5348,1040,0,0,13528,13188,340,0,0,0,88742,86970,1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,1695,0,0,0,0,11865,11865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15005,15005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86411
29,岐山,610323,1980-1984,480335,158620,79482,79138,0,0,0,237556,130532,107024,0,0,0,158620,79482,79138,0,0,0,237556,130532,107024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242279
30,眉县,610326,1980-1984,2924991,433730,366030,11000,0,0,56700,2874782,1702400,387000,0,0,785382,72200,72200,0,0,0,0,15200,15200,0,0,0,0,134330,123330,11000,0,0,0,738300,351300,387000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227200,170500,0,0,0,56700,2121282,1335900,0,0,0,785382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398509
